Short_Name,Iteration_Count_o,Error_Final_o,Duration_o,Error_Initial_o,Duration_Log_o,Iteration_Count_m,Error_Final_m,Duration_m,Error_Initial_m,Duration_Log_m
instance_0000005010,23.0,1.244530316534112e-17,1.1310133934020996,0.0037054021358346,0.1231140391523718,22.0,1.0100371595424465e-17,0.9811291694641112,0.0010203659377709,-0.0190511568674289
instance_0000005088,24.0,1.3600857125136541e-17,1.1022772789001465,0.0045324859915142,0.0973782933281238,23.0,1.0417437544951525e-17,1.1253502368927002,0.0008579027664891,0.1180943088882442
instance_0000005018,22.0,2.5734796202139606e-17,1.07002854347229,0.0096431639748326,0.0676853242603399,22.0,2.15832600884988e-17,1.0717692375183103,0.0022482850563525,0.0693107759670568
instance_0000005048,22.0,6.716921068548879e-18,1.1126904487609863,0.0020627530577267,0.1067809103044556,22.0,5.736844750213953e-18,1.0759198665618896,0.0007410049444648,0.0731759855108143
instance_0000005072,23.0,1.9471160569849335e-17,1.0986590385437012,0.006355119074194,0.0940903802819248,23.0,1.3244949317529665e-17,0.9624006748199464,0.0012006558855684,-0.0383244131374309
instance_0000005059,22.0,8.012718472145794e-18,1.0274543762207031,0.0022655533364265,0.0270842636975115,22.0,7.673254186684332e-18,0.9415562152862548,0.0008714607675087,-0.0602212244504483
instance_0000005040,22.0,1.3273728762622845e-17,1.053095817565918,0.0036466931227583,0.0517342238514874,22.0,9.705618991963979e-18,0.9614977836608888,0.000935071586996,-0.0392630190408385
instance_0000005045,23.0,9.754940569256213e-18,1.061811923980713,0.0027345479826072,0.0599768110730287,22.0,8.491606709798403e-18,1.00848126411438,0.000651900758397,0.0084455002667058
instance_0000005007,23.0,1.498234097956375e-17,1.0763330459594729,0.0044790783254584,0.0735599361146258,22.0,1.141326360089583e-17,0.9137740135192872,0.0009680678035878,-0.0901719880782004
instance_0000005016,22.0,2.564794719501066e-17,1.0696537494659424,0.0089583922830118,0.0673349974745197,22.0,2.1699832521806657e-17,1.1659445762634275,0.0020518146739402,0.1535315535768011
instance_0000005081,22.0,1.0193619765825069e-17,1.0665466785430908,0.002761425570279,0.0644260259443718,22.0,7.915502227453006e-18,1.0203704833984375,0.0008556976616859,0.0201657803661967
instance_0000005094,23.0,1.27453052826174e-17,1.0887129306793213,0.0040895960399541,0.0849962010084527,22.0,1.1070383552657532e-17,1.014490842819214,0.0008250079174558,0.0143868539435509
instance_0000005099,22.0,2.6592211970619904e-17,1.0786194801330566,0.0096880891552257,0.0756819643299897,22.0,2.111586702091036e-17,0.9186363220214844,0.0018158960784307,-0.0848649672434969
instance_0000005042,22.0,1.2579369161164469e-17,1.1139724254608154,0.0042281344630333,0.1079323884705655,22.0,1.1553135993543512e-17,1.019073724746704,0.0008535928532459,0.0188941017183468
instance_0000005093,23.0,5.760076707010252e-18,1.1194522380828855,0.0014757082625658,0.1128394925314457,22.0,4.735563065525003e-18,1.0363821983337402,0.000687635030257,0.0357359931145922
instance_0000005039,23.0,2.6145786306147922e-17,1.1329598426818848,0.0086456589318139,0.1248335380654747,22.0,2.0646075974996323e-17,0.972834587097168,0.0018031054127321,-0.0275412142316605
instance_0000005098,22.0,7.35140732512488e-18,1.0331261157989502,0.0018353998311555,0.0325892696157506,22.0,5.827824436703763e-18,0.9212143421173096,0.0005741553424717,-0.0820625422061834
instance_0000005063,23.0,2.0551109329075778e-17,1.086641788482666,0.0068513988785273,0.0830920124140777,22.0,1.427128998795921e-17,0.959508180618286,0.0011829003369446,-0.0413344376527642
instance_0000005046,23.0,2.0412231571143417e-17,1.1437888145446775,0.0065105087535117,0.1343462732456996,22.0,1.6909745055550737e-17,1.2642982006072998,0.0014288858872115,0.2345171861023204
instance_0000005071,23.0,1.3876446155076215e-17,1.1417324542999268,0.0040314947683298,0.1325468055901836,22.0,1.0995392969323541e-17,0.9791390895843506,0.0010086623021396,-0.0210815734231887
instance_0000005078,23.0,1.3649377611360265e-17,1.1698901653289795,0.0042153012124142,0.1569098686158602,23.0,1.0585400132422879e-17,1.0197174549102783,0.0007875638084069,0.0195255839332877
instance_0000005000,23.0,1.621291739347456e-17,1.1315741539001465,0.0052353902122814,0.1236097198699617,22.0,1.1850164564244757e-17,0.8843317031860352,0.0010634004637868,-0.1229230568771516
instance_0000005060,22.0,1.3702091383987515e-17,1.116725206375122,0.0045264745427442,0.1104004794143077,22.0,1.2063591932633448e-17,0.9940154552459716,0.0008991315041002,-0.0060025239092454
instance_0000005073,23.0,5.924201375353791e-18,1.1464018821716309,0.0016874472566393,0.1366282393410415,22.0,5.5107644749558514e-18,0.9824464321136476,0.000623622344508,-0.017709458746833
instance_0000005027,23.0,1.0071244493242785e-17,1.118035078048706,0.0026805769185286,0.1115727499551061,22.0,8.253262427335401e-18,0.983168363571167,0.000936659275709,-0.0169748982504774
instance_0000005036,23.0,2.7469688347427957e-17,1.1320934295654297,0.0092303286701224,0.1240685113269624,22.0,1.91488170456128e-17,1.008512020111084,0.0012590801017259,0.0084759971423742
instance_0000005020,22.0,1.0172233649465505e-17,1.0590193271636963,0.0030458784101822,0.0573433168433811,23.0,8.032792870847669e-18,1.393233299255371,0.0008500834963583,0.3316271604983899
